number,outside left x,outside left y,outside right x,outside right y,inside x,inside y,rotation
1,-1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,0.0,1.0,0.816496580927726,0.42264973081037427,0.0,-0.7320508075688774,0.6154797086703873
3,0.816496580927726,0.42264973081037427,1.2349282275194609,-0.48559855965348875,-0.3382039574515252,-1.2103434310450778,1.139078484268686
4,1.2349282275194609,-0.48559855965348875,1.2030038862209413,-1.4850888479668152,-0.7959766904057108,-1.4212401653697762,1.6027260932694922
5,1.2030038862209413,-1.4850888479668152,0.7658208815773044,-2.384461418401761,-1.2452373230139522,-1.4068905014109827,2.0232604285534572
6,0.7658208815773044,-2.384461418401761,0.021137188975870247,-3.051878977335816,-1.6136952757864844,-1.227783910690702,2.4108571152086378
7,0.021137188975870247,-3.051878977335816,-0.9114183617348138,-3.4129054927591196,-1.8666047382450994,-0.9455954218257658,2.7722242391153458
8,-0.9114183617348138,-3.4129054927591196,-1.910982338530155,-3.4424327055141815,-1.9944979080047243,-0.6152388406270672,3.1120611485694676
9,-1.910982338530155,-3.4424327055141815,-2.8685893131750837,-3.1543547957199958,-2.0043555837925267,-0.28153387178520983,3.4338117029661097
10,-2.8685893131750837,-3.1543547957199958,-3.694772980774479,-2.5909539194409366,-1.9131429759979202,0.021668235804609193,3.7400890721357793
11,-3.694772980774479,-2.5909539194409366,-4.323143796328999,-1.8130399665133985,-1.7430950952861632,0.27103025789056234,4.032931843864355
12,-4.323143796328999,-1.8130399665133985,-4.711108436759828,-0.8913657085592241,-1.5183351511498815,0.45258322897354675,4.313966745367169
13,-4.711108436759828,-0.8913657085592241,-4.838632711930711,0.10046974112088325,-1.2625191412862002,0.5602650541158821,4.584516508345741
14,-4.838632711930711,0.10046974112088325,-4.705742054397165,1.091600445488527,-0.9972705331415113,0.5943691350948861,4.845673919248766
15,-4.705742054397165,1.091600445488527,-4.329288552431759,2.0180359590878183,-0.74121923692659,0.5600378153543397,5.0983541743908445
